Elevation (ft),Capacity (acre-feet)
3350,0
3449.32,28309
3450.1,28722
3450.89,29137
3451.67,29553
3452.41,29953
3452.9,30221
3453.16,30364
3453.9,30774
3454.65,31184
3455.4,31597
3456.17,32026
3456.86,32416
3457.58,32828
3458.29,33239
3458.99,33649
3459.68,34059
3460.38,34469
3461.08,34877
3461.78,35290
3462.47,35701
3463.16,36117
3463.83,36526
3464.49,36933
3465.15,37341
3465.83,37754
3466.49,38160
3467.15,38570
3467.81,38984
3468.45,39390
3469.09,39800
3469.73,40214
3470.37,40624
3471.07,41072
3471.65,41446
3472,42000
