,I_AMADR,I_ANG017,I_BANOS,I_BCK040,I_BEARD,I_BUR005,I_BVC007,I_CAP000,I_CFS001,I_CHC000,I_CHW031,I_CLV026,I_CMCHE,I_CMP001,I_CMP014,I_COL003,I_COT033,I_CSM035,I_DBC024,I_DCM027,I_DCT050,I_DED044,I_DEE023,I_DONLL,I_DPC008,I_DSC035,I_EBTML,I_ELENR,I_ESTMN,I_FRS046,I_FSL012,I_GRZ012,I_HNSLY,I_HTCHY,I_ING008,I_JBP006,I_JNKSN,I_LJC022,I_LLOYD,I_LOSVQ,I_LPC007,I_LYONS,I_MCD055,I_MCLRE,I_MFM008,I_MFS013,I_MFS022,I_MFS047,I_MIL003,I_MLRTN_UNIMP,I_MOK079,I_MPS038,I_MSH015,I_NFM010,I_NFS005,I_NFS009,I_NFS033,I_NHGAN,I_ORG000,I_ORT014,I_OWN040,I_PARDE,I_PCRST,I_PEDRO,I_QNT005,I_RLIEF,I_SFM005,I_SFS030,I_SFS033,I_SJR258,I_SJR265,I_SLO007,I_SLTSP,I_SLUIS,I_SPICE,I_STS059,I_STS072,I_TGC003,I_TULOC,I_TUO054,I_UBEAR
10/31/1921,0.04,0.03,0,0.01,0,0,0.16,0,0.77,0,0,0,0,0.02,0.07,0.11,0,0.33,0,0,0.01,0,0.07,0.43,0,0.06,0.21,0,0.05,0.01,0,0,0.18,1.04,0,0,0.02,0,0.07,0,0,0.13,0,3.1,0.2,0,0.12,0.39,0.07,21.09,0.34,0.02,0,0.15,0.09,1.58,0.62,0,0,0,0.02,0,0.14,4.69,0,0.5,0.2,0.03,0.09,0,0,0,1.08,0,0.77,0,8.24,0.01,0,0,0.24
11/30/1921,0.09,0.04,0,0.01,0,0,0.21,0,1.01,0,0.01,0,0.01,0.05,0.19,0.1,0,0.84,0,0,0.01,0,0.19,0.56,0,0.14,0.66,0,0.07,0.01,0,0,0.26,0.73,0,0,0.06,0,0.05,0,0,0.17,0,3.5,0.28,0,0.16,0.51,0.09,10.13,0.31,1.01,0.01,0.15,0.01,0.18,0.13,0.08,0,0,0.03,0.01,0.18,5.3,0,0.65,0.28,0.04,0.12,0,0,0,1.05,0,0.16,0,0,0.01,0.01,0,0.23
12/31/1921,1.11,0.28,1.57,3.1,1,2.18,1.35,0.19,2.38,1.07,0.78,2.49,0.9,0.51,1.4,0.55,0.73,11.33,0.75,0.39,2.19,1.27,2.6,3.03,0.42,2.41,7.58,1.89,10.67,1.17,0,0.38,9.45,4.58,0.38,0,0.58,4.05,3.59,0.09,0.36,0.47,0.71,44.1,1.59,0.32,0.85,1.12,0.56,59.26,0.82,6.92,0.77,0.13,0,0,0.32,12.88,0.43,1.01,0.75,0.9,0.83,44.07,0.34,1.43,1.78,0.11,0.55,1.06,0.22,0.31,4.26,0.86,0.29,0.41,7.12,0.01,1.94,0.47,0.94
1/31/1922,1.42,0.35,1.6,3.02,1.17,2.59,1.71,0.37,2.56,2.03,0.73,3.16,0.99,0.53,1.72,1.28,0.67,14.59,0.69,0.52,2.03,1.09,3.31,4.31,0.59,3.82,4.56,8.42,9.9,1.08,0,0.71,8.42,12.9,0.71,0,0.78,4.98,7.15,0.2,0.67,0.59,0.84,40.2,2.05,0.37,1.21,0.84,0.71,65.72,1.8,15.54,1.06,2.66,0.18,3.12,1.22,14.1,0.81,1.91,0.7,0.99,0.95,42.81,0.64,1.07,2.54,0.13,0.63,1.38,0.41,0.59,7.7,0.99,1.12,0.45,10.88,0.2,2.12,0.44,1.7
2/28/1922,8.4,1.06,7.21,11.51,3.45,9.87,5.17,1.82,5.35,10.1,3.03,20.58,7.16,2.62,7.21,3.1,2.81,89.36,2.9,6.1,8.47,4.48,16.26,11.94,3.11,23.38,9.59,6.62,41.3,4.52,0,3.53,35.59,15.29,3.54,0,5.33,42.18,5.07,1.1,3.36,1.97,3.21,163.2,7.45,1.09,3.37,1.49,2.15,94.2,0,15.95,12.39,12.05,0.18,3.23,1.51,102.35,4.03,9.52,2.9,7.16,2.24,160.66,3.2,1.9,9.58,0.45,1.49,6.83,2.59,2.96,16.85,3.7,1.84,3.25,42.41,0.9,15.38,1.82,3.72
3/31/1922,5.61,1.07,3.06,6.75,3.31,5.32,5.22,0.81,3.73,4.5,2.03,5.92,2.76,1.65,5.76,2.28,1.88,58.52,1.94,2,5.66,2.73,7.96,11.2,1.73,16.1,4.37,10.97,27.63,3.02,0,1.57,25.97,26.89,1.58,40,3.86,12.98,10.94,0.14,1.5,2.18,1.73,117.3,7.69,1.04,3.16,1.1,2.17,106.83,1.47,2.95,3.92,12.85,0.92,16.28,3.21,39.42,1.79,4.24,1.8,2.76,2.03,131.26,1.43,1.4,9.93,0.5,1.36,4.8,1.16,1.32,14.75,1.43,4.21,1.25,36.75,0.96,5.92,1.22,3.26
4/30/1922,6.75,1.81,1.51,4.71,5.4,2.67,8.82,0.4,6.36,2.22,1.28,1.28,1.9,2.42,7.45,4.59,1.19,69.89,1.23,0.7,3.58,1.37,5.81,20.83,1.03,16.63,2.13,28.19,17.48,1.91,0,0.78,18.89,58.92,0.78,50,4.14,6.09,28.87,0.01,0.74,3.81,0.87,124.3,12.04,1.71,5.88,1.71,3.67,206.83,10,0.16,2.41,22.94,1.53,27.21,5.83,27.18,0.88,2.09,0.95,1.9,3.88,143.6,0.7,2.17,15.14,0.87,2.59,2.79,0.31,0.65,31.47,0.72,7.21,0.86,62.72,1.71,4.09,0.77,6.94
5/31/1922,7.83,3.59,0.3,3.15,12.06,1.05,17.53,0.08,35.35,0.47,0.66,0,0.6,3.75,15.23,22.43,0.61,74.42,0.63,0.02,1.84,0.55,2.99,85.01,0.38,11.73,1.81,78.45,8.97,0.98,0,0.16,14.01,291.93,0.16,40,4,0,111.79,0,0.16,6.55,0.34,416.5,18.4,3.81,23.98,12.61,7.3,689.71,19.74,0,0.46,64.67,4.13,73.29,28.74,8.59,0.19,0.44,0.47,0.6,22.38,234.96,0.15,16.05,20.98,1.48,14.92,0.23,0.03,0.14,147.47,0.21,39.25,0.27,89.3,4.83,1.29,0.4,32.57
6/30/1922,2.63,1.24,0.03,0.32,7.41,0.04,6.04,0.01,49.9,0.04,0.08,0,0.16,1.56,5.57,21.32,0.07,24.71,0.07,0.01,0.21,0.17,0.13,73.9,0.11,1.95,0.76,59.2,1.04,0.11,0,0.01,2.74,392.27,0.01,0,0.85,0,143.19,0,0.01,3.05,0.01,400.4,5.56,2.34,20.84,19.54,2.51,756.43,18.32,0,0.03,42.85,2.43,43.21,23.99,2.24,0.02,0.04,0.05,0.16,25.29,157.22,0.01,24.87,5.64,0.69,16.86,0.01,0,0.01,154.35,0.05,36.71,0.07,17.45,3.2,0.34,0.05,34.06
7/31/1922,0.34,0.25,0.01,0.13,1.09,0.03,1.21,0,17.57,0.01,0.03,0,0.03,0.26,0.74,1.69,0.03,3.06,0.03,0,0.08,0.01,0,16.66,0.04,0.15,0.3,12.35,0.41,0.04,0,0,1.42,111.93,0,0,0.16,0,37.75,0,0,0.81,0.01,86.3,0.97,0.34,4.7,8.27,0.5,267.1,4.94,2.76,0,1.9,0.23,4.04,2.83,0.37,0,0.01,0.04,0.03,5.62,32.51,0,10.52,1.01,0.18,3.75,0,0,0,23.85,0.03,6.14,0.01,1.19,0.14,0.06,0.02,5.26
