Date,I_ALD002,I_ALD004,I_ALMNR,I_ALOHA,I_ANT011,I_ANTLP,I_BCC014,I_BCN010,I_BLKBT,I_BOWMN,I_BRC003,I_BRR023,I_BSH003,I_BTC048,I_BTL006,I_BTVLY,I_BUCKS,I_CAPLS,I_CCH053,I_CLR011,I_CLRLK,I_CMBIE,I_CMPFW,I_COW014,I_CWD018,I_CYN009,I_DAVIS,I_DCC010,I_DER001,I_DER004,I_DHC021,I_DRC012,I_EBF001,I_ECHOL,I_ELD027,I_ENGLB,I_EPARK,I_FOLSM,I_FRDYC,I_FRMAN,I_FRMDW,I_FRNCH,I_GERLE,I_GZL009,I_HHOLE,I_HON021,I_ICEHS,I_INDVL,I_JKSMD,I_LCBRF,I_LCC038,I_LDC029,I_LGRSV,I_LKVLY,I_LNG012,I_LOONL,I_LRB004,I_LWSTN,I_MERLC,I_MFA001,I_MFA023,I_MFA025,I_MFA036,I_MFF019,I_MFF087,I_MFY013,I_MLC006,I_MNS000,I_MTMDW,I_NBLDB,I_NFA016,I_NFA022,I_NFA054,I_NFF029,I_NFY029,I_NLC003,I_NMA003,I_NNA013,I_OGN005,I_OROVL,I_PLC007,I_PLM001,I_PTH070,I_PYN001,I_PYR001,I_RCK001,I_RLLNS,I_RUB002,I_RUB047,I_RVPHB,I_SCOTF,I_SCW008,I_SFA030,I_SFA040,I_SFA066,I_SFA076,I_SFD003,I_SFF008,I_SFF011,I_SFR006,I_SFY007,I_SFY048,I_SGRGE,I_SHSTA,I_SILVR,I_SLC003,I_SLF009,I_SLT009,I_SLV006,I_SLV015,I_SLYCK,I_SPLDG,I_STMPY,I_THM028,I_TRNTY,I_UNVLY,I_WBF006,I_WBF015,I_WBF030,I_WBR001,I_WKYTN,I_WLF013
10/31/1921,0.01,0.05,27.14,0.17,3.20,0.31,3.50,0.84,1.13,1.43,0.08,0.15,0.15,7.60,15.00,1.83,1.07,0.17,0.12,0.10,4.92,0.05,0.03,5.57,0.90,0.01,0.32,0.11,0.75,0.86,1.47,6.35,7.07,0.38,0.06,1.90,0.00,0.00,2.51,0.16,0.52,0.29,0.12,1.05,0.74,0.66,0.16,0.08,0.65,0.46,0.22,0.26,0.85,0.00,0.05,0.20,0.11,0.82,1.79,0.63,0.22,1.28,0.29,11.64,1.57,1.62,6.76,7.55,13.37,5.63,0.10,1.44,2.20,13.35,9.64,0.01,0.92,0.00,0.41,0.00,0.10,0.02,0,0.54,0.18,0.8,0.23,0,0.8,0.41,0.86,0.29,0.78,1.68,0.41,0.24,0.21,0.09245098,0.41,0.08,3.02,1.83,3.2,230,0.14,0.02,0.27,1.38,0.48,0.67,1.78,1.59,0.25,0.2,10.12,0.64,1.39,2.97,1.93,0.2,0.61,0.03
11/30/1921,0.03,0.19,26.67,0.38,3.00,0.45,3.20,1.25,2.07,1.88,0.05,1.09,0.33,8.60,14.04,2.18,1.91,0.36,0.14,0.54,4.78,0.36,0.19,12.20,2.81,0.01,0.41,0.34,0.82,0.94,2.13,7.00,10.78,0.45,0.31,5.06,0.10,0.42,2.06,0.22,1.53,0.38,0.40,1.30,2.64,0.96,0.18,0.16,1.00,0.94,0.80,0.94,1.53,0.00,0.22,0.50,0.39,0.30,2.15,0.00,0.50,2.88,0.75,16.06,2.07,1.45,7.24,7.08,13.13,7.41,0.10,1.42,2.18,6.19,11.08,0.04,2.40,0.00,0.76,6.85,0.22,0.08,0,1.17,0.34,1.44,1.62,0,1.83,0.49,0.94,1.71,1.34,3.19,1.02,0.6,0.23,0.056372549,0.25,0.27,3.55,2.25,3.1,235,0.33,0.07,0.68,2.31,1.04,1.46,1.85,2.75,0.54,1.08,20.65,2.11,1.66,3.55,2.31,0.86,3.31,0.23
12/31/1921,0.16,0.89,31.83,0.62,8.80,0.94,9.50,5.67,6.59,3.31,2.49,9.33,0.77,22.90,31.15,3.25,4.10,0.74,2.74,4.19,33.42,3.07,1.59,48.97,15.84,0.08,0.92,1.36,1.27,1.45,6.77,20.52,25.04,0.60,5.48,4.12,4.40,14.23,2.65,0.57,5.10,0.68,2.03,2.50,9.96,3.05,0.99,0.08,1.91,1.90,2.52,2.96,3.47,0.03,0.89,1.45,0.99,0.47,8.87,0.00,1.24,7.18,2.38,33.36,4.88,5.71,19.04,20.76,15.68,13.56,0.57,7.99,12.36,7.15,17.92,0.22,8.97,0.03,4.00,34.60,0.53,0.41,33.54,6.45,0.72,3.49,14.23,0,4.39,0.93,1.45,9.57,3.27,6.32,2.88,1.69,0.36,0.879411765,3.9,1.36,6.3,3.84,3.8,332,0.83,0.4,1.93,4.78,2.43,3.41,3.35,5.12,1.34,18.54,35.2,6.42,3.15,6.73,4.38,3.68,25.75,1.93
01/31/1922,0.16,0.88,26.60,0.29,6.70,0.94,7.20,4.23,6.67,3.44,0.69,6.81,0.51,18.50,20.56,2.41,3.66,0.45,0.72,4.93,10.09,2.24,1.16,40.24,8.90,0.10,0.90,1.21,1.90,2.17,5.92,15.66,29.94,0.48,8.07,14.21,5.40,13.64,2.14,0.52,4.15,0.70,1.96,2.44,7.58,2.67,1.23,0.05,2.36,2.24,2.49,2.93,3.72,0.03,0.88,1.04,0.60,0.39,4.88,0.00,1.07,6.20,2.35,35.51,4.55,4.80,13.61,15.81,13.10,20.61,0.65,9.20,14.23,15.57,22.14,0.22,8.50,0.03,4.25,26.93,0.47,0.41,8.22,5.67,0.35,2.84,10.57,0,2.35,1,2.17,5.37,2.66,4.81,2.12,1.24,0.54,0.764411765,3.39,1.31,10.58,4.38,2.9,299,0.5,0.39,1.42,7.1,1.62,2.27,3.79,5.47,1.2,24.81,29.99,4.72,3.37,7.2,4.69,4.35,30.31,1.41
02/28/1922,0.51,2.87,30.82,0.75,18.40,2.06,19.80,14.26,36.91,4.74,11.22,47.03,2.02,48.10,51.85,4.90,7.34,1.02,16.70,4.90,111.21,15.47,7.99,104.87,45.33,0.37,2.36,2.90,2.69,3.07,16.51,43.16,63.93,0.70,8.42,0.00,22.90,32.98,2.88,1.32,10.70,0.97,5.39,4.71,18.98,7.45,1.48,6.06,3.29,3.12,6.72,7.90,7.68,0.03,2.74,2.48,0.99,1.50,10.46,0.00,3.97,23.01,7.31,75.87,11.91,21.90,34.00,43.41,15.18,32.09,2.52,35.64,54.79,27.32,30.90,0.69,29.57,0.03,13.56,96.10,1.48,1.35,124.87,17.77,0.9,9.71,80.67,0,5.81,2.26,3.07,28.51,6.56,17.52,6.08,3.57,0.77,4.225686275,18.74,3.61,15.04,6.05,21,542,1.26,1.24,4.08,10.12,6.39,8.97,8.07,7.54,3.74,24.03,43.76,14.43,7.66,16.36,10.65,15.75,30.12,9.73
03/31/1922,0.47,2.65,28.61,0.54,13.50,2.11,14.50,10.63,19.50,4.84,2.99,29.37,1.96,35.70,34.79,4.57,6.82,0.67,4.96,4.30,45.89,9.66,4.99,67.28,37.86,0.34,2.48,2.18,4.58,5.23,10.94,31.60,64.42,0.57,7.06,13.42,10.80,16.70,2.96,1.73,8.64,0.99,4.48,4.39,14.64,4.93,1.87,12.00,3.75,3.46,4.60,5.41,7.21,0.08,2.43,1.77,0.80,2.42,12.39,16.76,3.94,22.87,6.59,76.24,14.02,20.62,23.52,31.85,14.09,47.80,2.31,32.69,50.41,62.01,41.97,0.61,27.15,0.08,13.22,82.53,1.29,1.36,33.23,11.81,0.68,8.82,58.08,0,4.11,2.39,5.23,22.5,5.81,14.4,5.4,3.17,1.31,3.565,15.81,3,24.26,6.44,11.7,604,0.97,1.09,3.62,13.83,6.21,8.72,8.06,9.1,3.26,19.77,73.39,13.31,8.09,17.28,11.25,14.77,26.39,6.08
04/30/1922,0.85,4.75,75.17,0.72,15.20,6.07,16.40,11.59,22.02,8.72,1.33,14.14,2.42,40.30,38.98,10.57,14.29,1.02,2.63,12.70,22.48,4.65,2.40,68.29,40.15,0.46,8.40,3.49,8.91,10.18,11.10,35.72,158.84,0.70,19.22,31.85,4.90,5.37,5.52,6.80,14.10,1.79,7.65,9.13,22.78,5.01,4.51,16.08,6.61,6.79,4.85,5.70,14.94,0.18,3.55,2.75,1.38,2.54,12.71,51.87,5.39,31.26,10.67,163.81,42.82,39.16,26.31,35.86,37.03,94.94,3.09,43.66,67.58,135.20,79.41,0.97,41.10,0.19,17.10,129.32,1.95,2.05,13.7,9.12,1.06,11.02,36.5,0,6.05,4.81,10.18,21.02,11.16,20.45,9.9,5.81,2.55,2.931372549,13,5.12,47.55,12.09,20,772,1.87,1.74,6.64,26.69,7.67,10.77,17.48,16.81,4.91,58.47,151.93,21.54,16.28,34.77,22.64,21.77,78.01,2.93
05/31/1922,2.22,12.39,127.70,2.69,20.90,17.71,22.50,12.05,16.47,28.43,0.35,7.54,3.53,55.90,60.95,25.83,32.63,8.82,0.90,6.72,12.35,2.48,1.28,76.06,26.69,0.91,17.65,12.10,14.50,16.57,10.45,49.13,275.44,3.71,9.13,42.17,3.30,8.71,24.47,15.24,47.22,5.82,23.45,18.88,78.17,4.71,23.76,4.62,28.52,27.25,4.51,5.30,32.03,2.29,7.52,9.74,6.95,4.71,10.66,55.92,7.39,42.87,21.62,317.41,53.04,105.22,42.14,49.30,62.90,201.52,5.84,82.54,133.79,277.54,219.09,2.07,73.21,2.35,17.78,120.11,3.58,3,3.22,6.17,5.3,15.14,27.84,0,29.51,6.57,16.57,13.45,23.36,24.45,41.7,24.47,4.14,7.064607843,31.33,15.7,97.64,55.9,16.3,623,12.17,3.72,27.96,71.96,11.18,15.7,25.13,43.7,9.01,40.35,261.9,67.43,22.25,47.53,30.95,14.36,41.27,1.56
06/30/1922,0.97,5.43,72.96,6.32,12.00,9.05,13.00,4.08,7.31,33.26,0.08,2.04,2.52,32.30,52.89,13.22,24.19,16.31,0.21,1.42,16.57,0.67,0.35,33.64,10.17,0.54,6.47,9.58,3.27,3.74,1.72,28.28,89.75,6.59,1.11,10.02,0.60,0.00,55.04,5.75,39.48,6.81,12.64,10.01,73.46,0.78,21.00,0.39,45.28,27.52,0.97,1.14,16.56,2.44,3.38,5.83,8.82,3.74,2.77,6.41,4.09,23.74,8.41,138.43,27.88,54.21,37.43,28.31,35.94,79.92,3.31,46.79,79.40,115.85,198.27,0.79,23.43,2.50,4.39,78.51,1.27,0.56,0.65,1.36,8.77,6.04,12.06,0,41.45,2.93,3.74,6.67,12.96,6.85,42.45,24.91,0.93,3.758921569,16.67,8.46,27.48,77.53,8.4,335,15.5,1.42,28.46,37.76,7.98,11.2,8.86,31.24,3.21,4.76,107.65,57.27,9.93,21.21,13.81,1.99,8.73,0.42
07/31/1922,0.06,0.32,38.39,1.67,4.10,1.27,4.40,0.85,2.08,5.70,0.03,0.12,0.75,12.50,24.40,4.00,4.67,4.26,0.08,1.46,7.82,0.04,0.02,5.19,3.12,0.09,1.54,0.61,0.70,0.80,0.45,9.59,12.51,1.95,0.41,3.78,0.00,0.00,12.19,0.63,5.67,1.17,0.39,1.89,8.74,0.20,3.50,0.07,6.82,3.42,0.20,0.24,2.09,0.94,0.31,1.13,1.38,1.43,0.64,0.00,0.83,4.82,1.74,29.20,6.65,6.22,14.12,9.67,18.91,16.00,0.46,6.52,12.95,44.66,43.22,0.07,4.85,0.97,0.79,0.00,0.41,0.06,0.04,0.12,2.69,2.34,3.06,0,8.02,0.87,0.8,2.32,6.59,3.72,6.13,3.6,0.2,0.579509804,2.57,0.26,5.78,12.27,3,238,1.53,0.13,4.11,4.69,2.38,3.34,3.26,5.21,1.04,1.12,18.8,5.91,2.96,6.32,4.12,0.21,8.95,0.03
