,11317000,11318500,11315000,MKM,EBMUD_11319500,11319500,11313500,11315600,11315400,PGE_OLD_RES,11315900,11314500,11314000,11315030,LB_HIST_EVAP,SS_HIST_EVAP,SS_STORAGE,LB_STORAGE_V1,LB_STORAGE_V2,11316600,11316605,11316610,NHGAN_STORAGE,OHGAN_STORAGE,11308000,11306000,11306500,11309500,USACE_NH_RELEASE,MOK_RIV_DIV,11323500,11335000,CMP001_EXPORT,JNKSN_STORAGE,11332500,11333000,11331500,11326300,11327000,11335700
9/30/1921,,,,,,,0,0,-901,10.84,,,,,,,0,0,0,,,,,-901,,,,,,,,,,-901,,,,,,
10/31/1921,0.201064463,-901,-901,2.3,-901,-901,0,0,-901,5.27,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.71,2.334049571,0.443940496,-901,-901,-901,-901,-901,-901,-901,-901
11/30/1921,0.278479339,-901,-901,2.4,-901,-901,0,0,-901,2.53,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.081520661,-901,0.621,2.415214866,1.142479339,-901,-901,-901,-901,-901,-901,-901,-901
12/31/1921,1.586380165,-901,-901,11.5,-901,-901,0,0,-901,2.65,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,13.68099174,-901,0.495,11.49830576,13.82241322,-901,-901,-901,-901,-901,-901,-901,-901
1/31/1922,2.04753719,-901,-901,21.5,-901,-901,0,0,-901,4.38,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,14.98452893,-901,0.572,21.48613219,17.62234711,-901,-901,-901,-901,-901,-901,-901,-901
2/28/1922,7.44753719,-901,-901,59.9,-901,-901,0,0,-901,5.01,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,108.7418182,-901,0.272,59.88249574,104.5209917,-901,-901,-901,-901,-901,-901,-901,-901
3/31/1922,7.685950413,-901,-901,57.4,-901,-901,0,0,-901,5.66,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,41.88535537,-901,0.371,57.52810731,69.78842975,-901,-901,-901,-901,-901,-901,-901,-901
4/30/1922,12.04363636,-901,-901,108.3,-901,-901,0,0,-901,6.46,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,28.88330579,-901,0.453,107.8249006,83.90082645,-901,-901,-901,-901,-901,-901,-901,-901
5/31/1922,18.39709091,-901,-901,334.2,-901,-901,0,0,-901,19.99,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,9.124760331,-901,0.805,332.0414456,97.39636364,-901,-901,-901,-901,-901,-901,-901,-901
6/30/1922,5.563636364,-901,-901,283.8,-901,-901,0,0,-901,24.84,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.380165289,-901,0.788,285.5454374,32.68561983,-901,-901,-901,-901,-901,-901,-901,-901
7/31/1922,0.971504132,-901,-901,39.8,-901,-901,0,0,-901,24.49,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.390446281,-901,0.917,39.79609082,4.224198347,-901,-901,-901,-901,-901,-901,-901,-901
8/31/1922,0.341256198,-901,-901,3.1,-901,-901,0,0,-901,16.63,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.003996694,-901,0.884,3.169454523,0.75014876,-901,-901,-901,-901,-901,-901,-901,-901
9/30/1922,0.176727273,-901,-901,1.1,-901,-901,0,0,-901,9.38,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.718,1.084528909,0.237421488,-901,-901,-901,-901,-901,-901,-901,-901
10/31/1922,0.308052893,-901,-901,3.5,-901,-901,0,0,-901,4.2,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.231808264,-901,0.668,3.481388412,1.131371901,-901,-901,-901,-901,-901,-901,-901,-901
11/30/1922,0.874710744,-901,-901,10.6,-901,-901,0,0,-901,3.6,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,5.545785124,-901,0.543,10.65374378,11.9722314,-901,-901,-901,-901,-901,-901,-901,-901
12/31/1922,6.161057851,-901,-901,60.3,-901,-901,0,0,-901,4.46,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,64.25454545,-901,0.342,60.04563623,104.16,-901,-901,-901,-901,-901,-901,-901,-901
1/31/1923,4.021289256,-901,-901,46.6,-901,-901,0,0,-901,4.87,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,33.22790083,-901,0.221,46.86967758,76.2446281,-901,-901,-901,-901,-901,-901,-901,-901
2/28/1923,3.820958678,-901,-901,35,-901,-901,0,0,-901,5.04,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,26.31907438,-901,0.218,33.71031398,45.14618182,-901,-901,-901,-901,-901,-901,-901,-901
3/31/1923,4.328727273,-901,-901,46.2,-901,-901,0,0,-901,8.71,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,10.51438017,-901,0.52,47.53876023,39.56112397,-901,-901,-901,-901,-901,-901,-901,-901
4/30/1923,12.14479339,-901,-901,129,-901,-901,0,0,-901,10.3,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,19.7553719,-901,0.384,129.3128427,98.47933884,-901,-901,-901,-901,-901,-901,-901,-901
5/31/1923,5.515438017,-901,-901,231.2,-901,-901,0,0,-901,15.82,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,7.519933884,-901,0.647,231.0271648,40.52033058,-901,-901,-901,-901,-901,-901,-901,-901
6/30/1923,1.916033058,-901,-901,111,-901,-901,0,0,-901,22.11,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.576528926,-901,0.746,110.8112064,15.65553719,-901,-901,-901,-901,-901,-901,-901,-901
7/31/1923,0.590280992,-901,-901,30.6,-901,-901,0,0,-901,23.38,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.627173554,-901,0.856,30.65624787,3.947504132,-901,-901,-901,-901,-901,-901,-901,-901
8/31/1923,0.248409917,-901,-901,1.7,-901,-901,0,0,-901,15.04,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.188152066,-901,0.957,1.717165269,0.731702479,-901,-901,-901,-901,-901,-901,-901,-901
9/30/1923,0.236826446,-901,-901,3.7,-901,-901,0,0,-901,8.84,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.35107438,-901,0.894,3.738628079,0.809256198,-901,-901,-901,-901,-901,-901,-901,-901
10/31/1923,0.385527273,-901,-901,8.2,-901,-901,0,0,-901,6.26,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,1.278942149,-901,1.409,8.236603285,2.207404959,-901,-901,-901,-901,-901,-901,-901,-901
11/30/1923,0.364760331,-901,-901,5.1,-901,-901,0,0,-901,3.25,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,1.261487603,-901,1.047,5.11799172,2.011239669,-901,-901,-901,-901,-901,-901,-901,-901
12/31/1923,0.545395041,-901,-901,5.5,-901,-901,0,0,-901,0.92,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,1.86307438,-901,0.843,5.461099158,3.252694215,-901,-901,-901,-901,-901,-901,-901,-901
1/31/1924,0.823933884,-901,-901,8.4,-901,-901,0,0,-901,0,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.582479339,-901,0.644,8.393752047,4.875966942,-901,-901,-901,-901,-901,-901,-901,-901
2/29/1924,1.265454545,-901,-901,16.9,-901,-901,0,0,-901,0.49,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,3.664066116,-901,0.556,16.97922311,11.15900826,-901,-901,-901,-901,-901,-901,-901,-901
3/31/1924,0.639471074,-901,-901,18.6,-901,-901,0,0,-901,2.95,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.582479339,-901,0.558,14.20874378,5.158809917,-901,-901,-901,-901,-901,-901,-901,-901
4/30/1924,0.999669421,-901,-901,55.7,-901,-901,0,0,-901,9.25,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.820495868,-901,0.644,60.02168583,8.390082645,-901,-901,-901,-901,-901,-901,-901,-901
5/31/1924,0.293910744,-901,-901,69.4,-901,-901,0,0,-901,17.02,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.04753719,-901,0.768,69.41072714,3.031338843,-901,-901,-901,-901,-901,-901,-901,-901
6/30/1924,0.056707438,-901,-901,2.2,-901,-901,0,0,-901,13.17,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.19814876,-901,0.74,1.096942139,0.263008264,-901,-901,-901,-901,-901,-901,-901,-901
7/31/1924,0.013711736,-901,-901,0,-901,-901,0,0,-901,11.01,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.675,-0.267545457,0.007562975,-901,-901,-901,-901,-901,-901,-901,-901
8/31/1924,0.012297521,-901,-901,0,-901,-901,0,0,-901,9.02,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.646,-1.010737191,0,-901,-901,-901,-901,-901,-901,-901,-901
9/30/1924,0.023385124,-901,-901,0,-901,-901,0,0,-901,4.66,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.607,-0.777793395,0,-901,-901,-901,-901,-901,-901,-901,-901
10/31/1924,0.298214876,-901,-901,6,-901,-901,0,0,-901,4.73,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.577,5.984123955,0.873123967,-901,-901,-901,-901,-901,-901,-901,-901
11/30/1924,0.731900826,-901,-901,20,-901,-901,0,0,-901,5.91,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.600330579,-901,0.58,19.96826442,5.289917355,-901,-901,-901,-901,-901,-901,-901,-901
12/31/1924,1.444958678,-901,-901,23.9,-901,-901,0,0,-901,4.72,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,8.528330579,-901,0.511,23.91604127,15.11365289,-901,-901,-901,-901,-901,-901,-901,-901
1/31/1925,1.168264463,-901,-901,23.4,-901,-901,0,0,-901,5.14,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,6.33322314,-901,0.497,23.42146276,13.86545455,-901,-901,-901,-901,-901,-901,-901,-901
2/28/1925,11.81831405,-901,-901,107.9,-901,-901,0,0,-901,6.21,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,82.8614876,-901,0.225,108.3151651,135.288595,-901,-901,-901,-901,-901,-901,-901,-901
3/31/1925,5.20185124,-901,-901,83.7,-901,-901,0,0,-901,8.5,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,12.12535537,-901,0.391,84.33653701,44.48628099,-901,-901,-901,-901,-901,-901,-901,-901
4/30/1925,12.18644628,-901,-901,169.4,-901,-901,0,0,-901,12.38,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,38.7431405,-901,0.351,167.6293467,99.60991736,-901,-901,-901,-901,-901,-901,-901,-901
5/31/1925,6.339371901,-901,-901,246.5,-901,-901,0,0,-901,21.05,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,6.296330579,-901,0.753,246.8266358,47.56066116,-901,-901,-901,-901,-901,-901,-901,-901
6/30/1925,1.856528926,-901,-901,129.3,-901,-901,0,0,-901,25.68,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,1.576859504,-901,0.732,129.7256361,14.88198347,-901,-901,-901,-901,-901,-901,-901,-901
7/31/1925,0.424879339,-901,-901,19.8,-901,-901,0,0,-901,23.72,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.158638017,-901,0.778,19.78527268,2.465652893,-901,-901,-901,-901,-901,-901,-901,-901
8/31/1925,0.126664463,-901,-901,2.1,-901,-901,0,0,-901,14.8,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.851,2.137942126,0.598889256,-901,-901,-901,-901,-901,-901,-901,-901
9/30/1925,0.138049587,-901,-901,3.2,-901,-901,0,0,-901,9.46,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.637,3.211049569,0.578380165,-901,-901,-901,-901,-901,-901,-901,-901
10/31/1925,0.308667769,-901,-901,4.1,-901,-901,0,0,-901,7.37,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.127894215,-901,0.623,4.097628087,1.383471074,-901,-901,-901,-901,-901,-901,-901,-901
11/30/1925,0.493884298,-901,-901,6.3,-901,-901,0,0,-901,5.47,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,1.059173554,-901,0.571,6.287528909,2.070743802,-901,-901,-901,-901,-901,-901,-901,-901
12/31/1925,0.582287603,-901,-901,14.9,-901,-901,0,0,-901,2.97,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.05368595,-901,0.494,12.38209914,3.947504132,-901,-901,-901,-901,-901,-901,-901,-901
1/31/1926,0.92846281,-901,-901,14.6,-901,-901,0,0,-901,1.15,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,2.379570248,-901,0.488,12.50271071,4.156561983,-901,-901,-901,-901,-901,-901,-901,-901
2/28/1926,4.009785124,-901,-901,39.2,-901,-901,0,0,-901,1.08,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,38.95933884,-901,0.567,38.70658669,51.66624793,-901,-901,-901,-901,-901,-901,-901,-901
3/31/1926,2.305785124,-901,-901,49.2,-901,-901,0,0,-901,8.61,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,4.64231405,-901,0.564,54.578628,22.54135537,-901,-901,-901,-901,-901,-901,-901,-901
4/30/1926,6.521652893,-901,-901,136.4,-901,-901,0,0,-901,11.96,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,14.47735537,-901,0.66,136.1686774,48.44231405,-901,-901,-901,-901,-901,-901,-901,-901
5/31/1926,1.260495868,-901,-901,94.5,-901,-901,0,0,-901,21.32,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,1.414214876,-901,0.753,94.47399155,11.6088595,-901,-901,-901,-901,-901,-901,-901,-901
6/30/1926,0.273719008,-901,-901,15.9,-901,-901,0,0,-901,21.24,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0.167206612,-901,0.836,15.92955369,1.731570248,-901,-901,-901,-901,-901,-901,-901,-901
7/31/1926,0.044455537,-901,-901,0.9,-901,-901,0,0,-901,15.56,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.884,0.867008252,0.226889256,-901,-901,-901,-901,-901,-901,-901,-901
8/31/1926,0.027177521,-901,-901,0,-901,-901,0,0,-901,8.39,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.876,-0.569504145,0.004734545,-901,-901,-901,-901,-901,-901,-901,-901
9/30/1926,0.030168595,-901,-901,0,-901,-901,0,0,-901,2.42,-901,-901,0,-901,0,0,0,0,0,-901,-901,-901,-901,-901,-901,-901,-901,0,-901,0.781,-0.041892573,0.034690909,-901,-901,-901,-901,-901,-901,-901,-901
