,I_CMCHE_IN_MOK079,I_JNKSN_IN_CMP001
9/30/1921,,
10/31/1921,0,0.02
11/30/1921,0,0.06
12/31/1921,0.52,0.58
1/31/1922,0.57,0.78
2/28/1922,4.11,5.33
3/31/1922,1.58,3.86
4/30/1922,1.09,4.14
5/31/1922,0.35,4
6/30/1922,0.09,0.85
7/31/1922,0.01,0.16
8/31/1922,0,0.04
9/30/1922,0,0.01
10/31/1922,0.01,0.06
11/30/1922,0.21,0.51
12/31/1922,2.43,5.13
1/31/1923,1.26,4.33
2/28/1923,1,2.11
3/31/1923,0.4,1.94
4/30/1923,0.75,4.58
5/31/1923,0.28,1.13
6/30/1923,0.1,0.4
7/31/1923,0.02,0.14
8/31/1923,0.01,0.04
9/30/1923,0.01,0.05
10/31/1923,0.05,0.06
11/30/1923,0.05,0.07
12/31/1923,0.07,0.12
1/31/1924,0.1,0.16
2/29/1924,0.14,0.4
3/31/1924,0.1,0.18
4/30/1924,0.11,0.22
5/31/1924,0.08,0.05
6/30/1924,0.01,0.01
7/31/1924,0,0
8/31/1924,0,0
9/30/1924,0,0
10/31/1924,0,0.05
11/30/1924,0.1,0.23
12/31/1924,0.32,0.62
1/31/1925,0.24,0.7
2/28/1925,3.14,7.18
3/31/1925,0.46,2.07
4/30/1925,1.47,4.91
5/31/1925,0.24,1.34
6/30/1925,0.06,0.38
7/31/1925,0.01,0.1
8/31/1925,0,0.03
9/30/1925,0,0.03
10/31/1925,0,0.06
11/30/1925,0.04,0.08
12/31/1925,0.08,0.15
1/31/1926,0.09,0.18
2/28/1926,1.47,2.6
3/31/1926,0.18,0.98
4/30/1926,0.55,2.02
5/31/1926,0.05,0.28
6/30/1926,0.01,0.06
7/31/1926,0,0.01
8/31/1926,0,0
9/30/1926,0,0
10/31/1926,0,0.03
11/30/1926,0.67,0.62
12/31/1926,0.17,0.58
1/31/1927,0.49,1.86
2/28/1927,3.08,7.09
3/31/1927,0.64,3.35
4/30/1927,1.56,5.76
5/31/1927,0.18,1.18
6/30/1927,0.06,0.43
7/31/1927,0.01,0.12
8/31/1927,0,0.04
9/30/1927,0,0.02
10/31/1927,0.01,0.07
11/30/1927,0.12,0.35
12/31/1927,0.3,0.56
1/31/1928,0.19,0.66
2/29/1928,0.78,1.31
3/31/1928,2.56,7.39
4/30/1928,0.81,3.37
5/31/1928,0.13,0.56
6/30/1928,0.03,0.14
7/31/1928,0,0.06
8/31/1928,0,0.02
9/30/1928,0,0.02
10/31/1928,0,0.03
11/30/1928,0.04,0.08
12/31/1928,0.11,0.17
1/31/1929,0.19,0.35
2/28/1929,0.44,0.83
3/31/1929,0.35,1.05
4/30/1929,0.3,1.33
5/31/1929,0.06,0.74
6/30/1929,0.06,0.24
7/31/1929,0,0.05
8/31/1929,0,0.01
9/30/1929,0,0
10/31/1929,0,0.01
11/30/1929,0,0.02
12/31/1929,0.01,0.22
1/31/1930,0.47,0.99
2/28/1930,0.44,0.84
3/31/1930,1.38,2.82
4/30/1930,0.1,1.63
5/31/1930,0.09,0.53
6/30/1930,0.01,0.15
7/31/1930,0.01,0.04
8/31/1930,0,0.01
9/30/1930,0,0.01
10/31/1930,0.01,0.02
11/30/1930,0,0.07
12/31/1930,0.01,0.06
1/31/1931,0.15,0.22
2/28/1931,0.17,0.43
3/31/1931,0.12,0.44
4/30/1931,0.03,0.2
5/31/1931,0.01,0.07
6/30/1931,0.01,0.03
7/31/1931,0.01,0
8/31/1931,0,0
9/30/1931,0,0
10/31/1931,0,0.01
11/30/1931,0,0.08
12/31/1931,1.44,1.47
1/31/1932,0.8,1.44
2/29/1932,2.39,4.75
3/31/1932,0.32,2.22
4/30/1932,0.14,2.27
5/31/1932,0.14,1.64
6/30/1932,0.03,0.44
7/31/1932,0,0.1
8/31/1932,0,0.02
9/30/1932,0,0.01
10/31/1932,0,0.01
11/30/1932,0,0.03
12/31/1932,0,0.07
1/31/1933,0.39,0.2
2/28/1933,0.26,0.33
3/31/1933,0.31,0.83
4/30/1933,0.11,1.18
5/31/1933,0.13,1.55
6/30/1933,0.02,0.49
7/31/1933,0,0.06
8/31/1933,0,0.01
9/30/1933,0,0
10/31/1933,0,0.03
11/30/1933,0,0.06
12/31/1933,0.49,0.82
1/31/1934,0.52,1.53
2/28/1934,0.85,1.37
3/31/1934,0.23,0.94
4/30/1934,0.04,0.27
5/31/1934,0.01,0.1
6/30/1934,0.03,0.08
7/31/1934,0,0.02
8/31/1934,0,0
9/30/1934,0,0
10/31/1934,0,0.01
11/30/1934,0.04,0.2
12/31/1934,0.14,0.23
1/31/1935,1.28,1.62
2/28/1935,0.3,1.26
3/31/1935,1.21,2.05
4/30/1935,2.18,9.13
5/31/1935,0.33,1.95
6/30/1935,0.09,0.46
7/31/1935,0.07,0.13
8/31/1935,0.01,0.04
9/30/1935,0,0.01
10/31/1935,0,0.06
11/30/1935,0,0.11
12/31/1935,0.02,0.11
1/31/1936,1.17,2.82
2/29/1936,7.47,12.08
3/31/1936,0.78,3.82
4/30/1936,0.99,3.61
5/31/1936,0.18,1.09
6/30/1936,0.14,0.54
7/31/1936,0.03,0.15
8/31/1936,0,0.04
9/30/1936,0,0.02
10/31/1936,0,0.03
11/30/1936,0,0.06
12/31/1936,0.1,0.14
1/31/1937,0.51,0.39
2/28/1937,3.73,4.55
3/31/1937,3.1,6.02
4/30/1937,0.92,4.7
5/31/1937,0.29,2.06
6/30/1937,0.1,0.41
7/31/1937,0.04,0.13
8/31/1937,0,0.04
9/30/1937,0,0.01
10/31/1937,0,0.06
11/30/1937,0.02,0.17
12/31/1937,0.7,1.26
1/31/1938,0.5,0.9
2/28/1938,6.11,7.54
3/31/1938,4.76,10.69
4/30/1938,1.15,6.65
5/31/1938,0.57,3.49
6/30/1938,0.17,0.98
7/31/1938,0.07,0.26
8/31/1938,0.02,0.12
9/30/1938,0,0.06
10/31/1938,0.04,0.11
11/30/1938,0.08,0.16
12/31/1938,0.09,0.23
1/31/1939,0.13,0.29
2/28/1939,0.39,0.5
3/31/1939,0.3,1.23
4/30/1939,0.13,0.96
5/31/1939,0.06,0.2
6/30/1939,0.01,0.06
7/31/1939,0.02,0.01
8/31/1939,0,0
9/30/1939,0,0
10/31/1939,0,0.08
11/30/1939,0,0.08
12/31/1939,0.03,0.09
1/31/1940,1.76,3.83
2/29/1940,2.06,6.95
3/31/1940,2.22,7.94
4/30/1940,1.51,3.43
5/31/1940,0.19,0.71
6/30/1940,0.06,0.24
7/31/1940,0.03,0.09
8/31/1940,0,0.01
9/30/1940,0,0.01
10/31/1940,0.01,0.04
11/30/1940,0.05,0.11
12/31/1940,0.69,1.18
1/31/1941,0.92,2.61
2/28/1941,1.79,4.29
3/31/1941,1.9,4.04
4/30/1941,1.83,4.18
5/31/1941,0.31,1.58
6/30/1941,0.11,0.42
7/31/1941,0.03,0.12
8/31/1941,0.01,0.05
9/30/1941,0,0.03
10/31/1941,0.01,0.06
11/30/1941,0.04,0.16
12/31/1941,0.57,0.97
1/31/1942,2.59,5.53
2/28/1942,1.51,5.89
3/31/1942,0.74,2.2
4/30/1942,1.06,4.45
5/31/1942,0.75,3.23
6/30/1942,0.23,0.96
7/31/1942,0.07,0.24
8/31/1942,0.01,0.11
9/30/1942,0.01,0.07
10/31/1942,0,0.09
11/30/1942,0.4,0.88
12/31/1942,0.71,1.8
1/31/1943,2.36,6.93
2/28/1943,1.62,5.02
3/31/1943,4.16,12.55
4/30/1943,0.72,2.16
5/31/1943,0.28,0.9
6/30/1943,0.13,0.41
7/31/1943,0.05,0.18
8/31/1943,0,0.1
9/30/1943,0,0.06
10/31/1943,0.02,0.09
11/30/1943,0.05,0.12
12/31/1943,0.09,0.18
1/31/1944,0.2,0.52
2/29/1944,0.78,1.61
3/31/1944,1.36,2.43
4/30/1944,0.24,1.6
5/31/1944,0.13,1.42
6/30/1944,0.05,0.29
7/31/1944,0,0.08
8/31/1944,0,0.02
9/30/1944,0,0.01
10/31/1944,0,0.02
11/30/1944,0.42,0.96
12/31/1944,0.33,1
1/31/1945,0.18,0.83
2/28/1945,2.53,6.21
3/31/1945,1.55,2.71
4/30/1945,0.55,2.93
5/31/1945,0.19,1.15
6/30/1945,0.09,0.51
7/31/1945,0.01,0.12
8/31/1945,0,0.03
9/30/1945,0,0.01
10/31/1945,0,0.13
11/30/1945,0.16,0.59
12/31/1945,1.71,5.42
1/31/1946,0.68,3.17
2/28/1946,0.33,1.31
3/31/1946,0.71,3.28
4/30/1946,0.61,2.75
5/31/1946,0.15,1.01
6/30/1946,0.06,0.29
7/31/1946,0.02,0.11
8/31/1946,0,0.03
9/30/1946,0,0.01
10/31/1946,0.01,0.07
11/30/1946,0.22,0.34
12/31/1946,0.23,0.59
1/31/1947,0.13,0.34
