,I_MFM008,I_SFM005,I_COL003,I_SLTSP,I_UBEAR,I_NFM010,I_TGC003,I_NHGAN,I_PARDE,I_CMCHE,I_MOK079,I_JNKSN,I_CMP001,I_CMP014,I_CSM035,I_AMADR,I_DSC035,I_DEE023
1921-09-30,,,,,,,,,,,,,,,,,,
1921-10-31,0.2,0.2,0.11,1.08,0.24,0.15,0.01,0.0,0.0,0.0,0.34,0.02,0.02,0.05,0.33,0.04,0.06,0.07
1921-11-30,0.28,0.28,0.1,1.05,0.23,0.15,0.01,0.08,0.01,0.01,0.31,0.06,0.05,0.12,0.84,0.09,0.14,0.19
1921-12-31,1.59,1.78,0.55,4.26,0.94,0.13,0.01,12.88,0.9,0.9,0.82,0.58,0.51,1.36,11.33,1.11,2.41,2.6
1922-01-31,2.05,2.54,1.28,7.7,1.7,2.66,0.2,14.1,0.99,0.99,1.8,0.78,0.53,1.42,14.59,1.42,3.82,3.31
1922-02-28,7.45,9.58,3.1,16.85,3.72,12.05,0.9,102.35,7.16,7.16,0.0,5.33,2.62,7.08,89.36,8.4,23.38,16.26
1922-03-31,7.69,9.93,2.28,14.75,3.26,12.85,0.96,39.42,2.76,2.76,1.47,3.86,1.65,4.46,58.52,5.61,16.1,7.96
1922-04-30,12.04,15.14,4.59,31.47,6.94,22.94,1.71,27.18,1.9,1.9,10.0,4.14,2.42,6.53,69.89,6.75,16.63,5.81
1922-05-31,18.4,20.98,22.43,147.47,32.57,64.67,4.83,8.59,0.6,0.6,19.74,4.0,3.75,10.14,74.42,7.83,11.73,2.99
1922-06-30,5.56,5.64,21.32,154.35,34.06,42.85,3.2,2.24,0.16,0.16,18.32,0.85,1.56,4.21,24.71,2.63,1.95,0.13
1922-07-31,0.97,1.01,1.69,23.85,5.26,1.9,0.14,0.37,0.03,0.03,4.94,0.16,0.26,0.7,3.06,0.34,0.15,0.0
1922-08-31,0.34,0.35,0.04,1.51,0.33,0.0,0.0,0.0,0.0,0.0,0.6,0.04,0.05,0.12,0.48,0.06,0.02,0.0
1922-09-30,0.18,0.18,0.01,0.46,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.02,0.04,0.15,0.02,0.01,0.0
1922-10-31,0.31,0.31,0.16,1.73,0.38,0.16,0.01,0.22,0.02,0.02,0.39,0.06,0.04,0.12,0.85,0.09,0.14,0.19
1922-11-30,0.87,0.96,0.63,4.78,1.05,0.0,0.0,5.22,0.37,0.37,1.78,0.51,0.45,1.22,9.77,0.96,1.96,2.25
1922-12-31,6.16,7.79,3.45,19.71,4.35,11.41,0.85,60.48,4.23,4.23,0.0,5.13,2.73,7.38,88.2,8.37,23.15,17.12
1923-01-31,4.02,5.19,2.21,14.62,3.23,11.23,0.84,31.27,2.19,2.19,2.08,4.33,1.75,4.72,64.49,6.13,17.6,9.68
1923-02-28,3.82,4.91,1.51,10.41,2.29,7.11,0.53,24.77,1.73,1.73,0.4,2.11,1.27,3.42,38.45,3.63,9.89,4.0
1923-03-31,4.33,5.4,2.2,15.65,3.46,9.74,0.73,9.9,0.69,0.69,4.94,1.94,1.13,3.05,33.68,3.18,8.18,2.99
1923-04-30,12.14,14.36,7.51,50.21,11.09,23.61,1.76,18.59,1.3,1.3,6.58,4.58,3.42,9.24,75.75,7.92,14.22,3.96
1923-05-31,5.52,5.75,18.62,127.54,28.15,33.3,2.49,7.08,0.5,0.5,8.88,1.13,1.86,5.02,30.71,3.26,2.54,0.28
1923-06-30,1.92,1.94,8.14,63.46,14.0,14.51,1.08,2.43,0.17,0.17,5.49,0.4,0.77,2.07,11.83,1.26,0.91,0.04
1923-07-31,0.59,0.61,1.43,19.34,4.27,1.08,0.08,0.59,0.04,0.04,3.2,0.14,0.24,0.65,2.9,0.32,0.15,0.0
1923-08-31,0.25,0.25,0.02,0.86,0.19,0.0,0.0,0.18,0.01,0.01,0.13,0.04,0.04,0.12,0.49,0.06,0.02,0.0
1923-09-30,0.24,0.24,0.06,2.15,0.47,0.0,0.0,0.33,0.02,0.02,0.55,0.05,0.05,0.13,0.51,0.07,0.03,0.0
1923-10-31,0.39,0.42,0.71,5.48,1.21,-0.0,0.0,1.2,0.08,0.08,0.0,0.06,0.16,0.43,1.28,0.18,0.0,0.07
1923-11-30,0.36,0.43,0.43,2.79,0.62,0.0,0.0,1.19,0.08,0.08,0.36,0.07,0.13,0.34,1.23,0.16,0.0,0.07
1923-12-31,0.55,0.66,0.42,2.41,0.53,0.0,0.0,1.75,0.12,0.12,0.7,0.12,0.19,0.5,2.07,0.26,0.0,0.09
1924-01-31,0.82,0.98,0.51,3.78,0.84,0.0,0.0,2.43,0.17,0.17,1.19,0.16,0.28,0.75,3.63,0.39,0.0,0.13
1924-02-29,1.27,1.45,1.08,8.22,1.81,0.0,0.0,3.45,0.24,0.24,2.77,0.4,0.66,1.78,7.46,0.9,0.0,0.2
1924-03-31,0.64,0.7,1.42,11.19,2.47,0.0,0.0,2.43,0.17,0.17,0.0,0.18,0.34,0.92,2.83,0.41,0.0,0.06
1924-04-30,1.0,0.98,5.74,42.68,9.42,0.0,0.0,2.65,0.19,0.19,0.0,0.22,0.67,1.8,3.42,0.67,0.0,0.04
1924-05-31,0.29,0.28,7.02,60.67,13.39,-0.0,0.0,1.93,0.14,0.14,0.0,0.05,0.28,0.75,1.12,0.24,-0.0,0.0
1924-06-30,0.06,0.05,0.0,0.0,0.0,-0.0,0.0,0.19,0.01,0.01,0.97,0.01,0.03,0.09,0.05,0.02,0.0,0.0
1924-07-31,0.01,0.01,0.54,8.09,1.78,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
